title,url,timestamp,author,editor,content,content_images,tags
ISMOA ke-9 : Kenalkan Aplikasi Optik Modern untuk Meningkatkan Kesejahteraan Hidup,https://itb.ac.id/berita/ismoa-ke-9-kenalkan-aplikasi-optik-modern-untuk-meningkatkan-kesejahteraan-hidup/3957,"Sabtu, 29 - Juni - 2013, 20:09:28",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130627/1372332074.jpg""]",[]
Lokakarya Penulisan Ilmiah Bersama LPPM ITB : Kiat Menulis Publikasi Ilmiah di Jurnal Internasional,https://itb.ac.id/berita/lokakarya-penulisan-ilmiah-bersama-lppm-itb-kiat-menulis-publikasi-ilmiah-di-jurnal-internasional/3952,"Selasa, 18 - Juni - 2013, 20:46:37",Hafshah Najma Ashrawi,Hafshah Najma Ashrawi,,"[""https://itb.ac.id/files/98/20130618/1371519665.jpg""]",[]
ITB Kembali Raih Juara Umum Pada Olimpiade Nasional MIPA 2013,https://itb.ac.id/berita/itb-kembali-raih-juara-umum-pada-olimpiade-nasional-mipa-2013/3951,"Selasa, 18 - Juni - 2013, 07:30:45",Medhira Handinidevi,Medhira Handinidevi,,"[""https://itb.ac.id/files/99/20130617/1371460017.jpg""]",[]
Tatang Hernas Widjaja: Subsidi BBM Kurang Tepat Guna,https://itb.ac.id/berita/tatang-hernas-widjaja-subsidi-bbm-kurang-tepat-guna/3950,"Selasa, 18 - Juni - 2013, 01:31:16",Diviezetha Astrella Thamrin,Diviezetha Astrella Thamrin,"BANDUNG, itb.ac.id - Maraknya isu kenaikan harga bahan bakar minyak (BBM) bersubsidi tengah menjadi perbincangan hangat di masyarakat saat ini. Timbul pula polemik kontroversial mengenai subsidi BBM itu sendiri. Pemungutan suara fraksi-fraksi Dewan Perwakilan Rakyat (DPR) dalam rapat paripurna DPR pada Senin (17/06/13) akhirnya mengesahkan Rancangan Anggaran Pendapatan dan Belanja Negara Perubahan (RAPBN-P) 2013 mengenai kenaikan harga BBM, dimana premium naik menjadi Rp6.500,00 dan solar menjadi Rp5.500,00.","[""https://itb.ac.id/files/92/20130618/1371492233.jpg""]",[]
Prof. Hendra Gunawan: Melihat Sosok Indonesia di Tahun 2045,https://itb.ac.id/berita/prof-hendra-gunawan-melihat-sosok-indonesia-di-tahun-2045/3947,"Jumat, 14 - Juni - 2013, 22:32:07",Nida Nurul Huda,Nida Nurul Huda,,"[""https://itb.ac.id/files/76/20130615/1371290879.jpg""]",[]
"Perkaya Produk Indonesia, Tim ITB Ciptakan Batik Berbahan Zeolit",https://itb.ac.id/berita/perkaya-produk-indonesia-tim-itb-ciptakan-batik-berbahan-zeolit/3946,"Kamis, 13 - Juni - 2013, 23:36:14",Hafshah Najma Ashrawi,Hafshah Najma Ashrawi,,"[""https://itb.ac.id/files/98/20130607/1370615388.jpg""]",[]
Pemutaran Film Nuklir Jawa : Mengintip Sejarah Nuklir di Indonesia,https://itb.ac.id/berita/pemutaran-film-nuklir-jawa-mengintip-sejarah-nuklir-di-indonesia/3945,"Rabu, 12 - Juni - 2013, 22:25:49",Medhira Handinidevi,Medhira Handinidevi,,"[""https://itb.ac.id/files/99/20130610/1370831880.jpg""]",[]
Seminar Zeolit Indonesia ke-8: Kontribusi Zeolit untuk Energi dan Lingkungan,https://itb.ac.id/berita/seminar-zeolit-indonesia-ke-8-kontribusi-zeolit-untuk-energi-dan-lingkungan/3943,"Senin, 10 - Juni - 2013, 09:57:11",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130609/1370785623.jpg""]",[]
Kausa Prima: Pameran Karya Tahun Pertama FSRD ITB Diminati Pengunjung,https://itb.ac.id/berita/kausa-prima-pameran-karya-tahun-pertama-fsrd-itb-diminati-pengunjung/3939,"Sabtu, 1 - Juni - 2013, 21:56:05",Nida Nurul Huda,Nida Nurul Huda,,"[""https://itb.ac.id/files/100/20130601/1370098514.jpg""]",[]
Ide Kreatif Bawa Tim STEI ITB Juarai Fujitsu Innovation Challenge 2013,https://itb.ac.id/berita/ide-kreatif-bawa-tim-stei-itb-juarai-fujitsu-innovation-challenge-2013/3938,"Sabtu, 1 - Juni - 2013, 21:33:27",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130531/1369994058.jpg"", ""https://itb.ac.id/files/101/20130531/1369994058.jpg""]",[]
Program Studi Profesi Apoteker ITB Lantik 39 Apoteker Baru,https://itb.ac.id/berita/program-studi-profesi-apoteker-itb-lantik-39-apoteker-baru/3937,"Sabtu, 1 - Juni - 2013, 21:19:58",,,,"[""https://itb.ac.id/files/99/20130531/1369962781.jpg"", ""https://itb.ac.id/files/99/20130531/1369962781.jpg""]",[]
Enam Mahasiswa Wakili ITB Pada Ajang Indonesia Youth Forum 2013,https://itb.ac.id/berita/enam-mahasiswa-wakili-itb-pada-ajang-indonesia-youth-forum-2013/3935,"Selasa, 28 - Mei - 2013, 02:16:25",Akbar Syahid Rabbani,Akbar Syahid Rabbani,,"[""https://itb.ac.id/files/97/20130527/1369665281.jpg""]",[]
Atras Agora: Suguhan Seni Olah Suara dari Masa Dahulu dan Sekarang,https://itb.ac.id/berita/atras-agora-suguhan-seni-olah-suara-dari-masa-dahulu-dan-sekarang/3932,"Selasa, 28 - Mei - 2013, 01:44:36",Diviezetha Astrella Thamrin,Diviezetha Astrella Thamrin,"BANDUNG, itb.ac.id - Paduan Suara Mahasiswa (PSM) ITB kembali menggelar konser tahunannya, Konser PSM ITB 2013, pada Minggu (26/05/13). Bertempat di Aula Barat ITB, konser bertajuk ""Atras Agora"" ini membawakan 18 buah aransemen lagu dari zaman romantik hingga kontemporer. Tahun ini PSM ITB bekerja sama pula dengan Adi Nugroho, konduktor muda yang telah menorehkan beragam prestasi dalam dunia olah vocal.","[""https://itb.ac.id/files/92/20130528/1369680094.jpg"", ""https://itb.ac.id/files/92/20130528/1369680094.jpg""]",[]
Pameran Lukisan 90 Derajat: Tuangkan Sudut Pandang Kehidupan dalam Lukisan,https://itb.ac.id/berita/pameran-lukisan-90-derajat-tuangkan-sudut-pandang-kehidupan-dalam-lukisan/3929,"Senin, 27 - Mei - 2013, 06:31:58",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130526/1369579463.jpg""]",[]
IYLC 2013: Wakili Indonesia Sebagai Pemimpin Dunia Masa Depan,https://itb.ac.id/berita/iylc-2013-wakili-indonesia-sebagai-pemimpin-dunia-masa-depan/3927,"Minggu, 26 - Mei - 2013, 21:16:56",Ahmad Furqan Hala,Ahmad Furqan Hala,,"[""https://itb.ac.id/files/96/20130526/1369534611.jpg"", ""https://itb.ac.id/files/96/20130526/1369534611.jpg""]",[]
